batch,page,academic_year,period,admitted,completed,licensed,notes
1,1,AY 1984–1985,3rd qtr. (approx.; handwritten),12,12,12,
2,2,AY 1984–1985,2nd qtr. (handwritten),13,13,9,
3,3,AY 1983–1988,3rd qtr. (handwritten),14,12,8,
4,4,AY 1990–1991,1st qtr. (July–Sept. 1990),14,10,9,
5,5,AY 1993–1994,1st qtr. (July–Sept. 1993),9,7,2,
6,6,AY 1994–1995,2nd qtr. (Oct.–Dec. 1994),22,19,15,
7,7,AY 1996–1997,"Admission July 8, 1996",18,17,15,
8,8,AY 1998–1999,"Admission July 6, 1998",15,15,15,
9,9,AY 1999–2000,"2nd qtr.; admission Oct. 11, 1999",12,11,4,
10,10,AY 2003–2004,2nd qtr.; Oct.–Dec. 2003,10,10,9,
11,11,AY 2006–2007,4th qtr. (Apr.–Jun. 2007),10,9,9,
12,12,AY 2008–2009,1st qtr. (July–Sept. 2008),17,16,16,
13,13,AY 2009–2010,1st qtr. (July–Sept. 2009),14,14,14,
14,14,AY 2010–2011,1st qtr. (July–Sept. 2010),17,16,16,
15,15,AY 2011–2012,1st qtr. (July–Sept. 2011),12,12,12,
16,16,AY 2013–2014,1st qtr. (Oct.–Dec. 2013),15,15,11,
17,17,AY 2015–2016,1st qtr. (Aug.–Oct. 2015),10,10,8,
18,18,AY 2017–2018,3rd qtr. (Feb.–May 2018),20,20,,Bottom note reads approximately “License – 4/7/24 11/18 = 61?”; preserved as source note rather than converted to a definitive statistic.
19,19,AY 2018–2019,3rd qtr. (Mar.–May 2019),22,21,,"Notebook notes completed = 21; one roster entry has no graduation date. LOA note: 1st qtr AY 2022–2023 – Moling, Whitney."
20,20,AY 2020–2021,"1st qtr. (Sept. 7–Nov. 20, 2020)",21,,,"LOA notes: 3rd qtr AY 2021–2022 – Juli, Lady Faith; 1st qtr AY 2022–2023 – Flores, Jinky Petros."
21,21,AY 2021–2022,"2nd qtr. (Jan. 5–Mar. 15, 2022)",14,,,
22,22,AY 2023–2024,"Q1 (Oct. 2–Dec. 15, 2023)",16,,,
